#Step <PairEne> <EwaldEne> <TotalEnergy> <Pzz> <|Rg|> <|Rgx|> <|Rgy|> <|Rgz|> <ete> beadtrans comtrans pivot crankshaft reptate
100 -nan -nan -nan 0 -nan -nan -nan -nan -nan 0.6737 -nan 0 -nan -nan
6500 7.275693 75.94688 83.22258 0.000952983 7.275 4.454 4.055 4.081 19.7 0.6351 -nan 0.2298 -nan -nan
6600 7.266325 76.04144 83.30777 0.000952983 7.276 4.454 4.054 4.082 19.7 0.634 -nan 0.2315 -nan -nan
6700 7.317675 76.05694 83.37461 0.000952983 7.276 4.454 4.053 4.084 19.7 0.6335 -nan 0.231 -nan -nan
6800 7.377574 75.9489 83.32647 0.000952983 7.276 4.453 4.052 4.086 19.7 0.6334 -nan 0.2305 -nan -nan
6900 7.371824 75.72307 83.09489 0.000952983 7.277 4.453 4.052 4.087 19.7 0.6344 -nan 0.2308 -nan -nan
7000 7.370157 75.50913 82.87929 0.000912941 7.277 4.453 4.051 4.089 19.7 0.6335 -nan 0.2246 -nan -nan
7100 7.364783 75.36116 82.72594 0.000912941 7.278 4.453 4.051 4.09 19.7 0.6336 -nan 0.2271 -nan -nan
7200 7.410249 75.23063 82.64088 0.000912941 7.278 4.452 4.05 4.091 19.7 0.6329 -nan 0.2303 -nan -nan
7300 7.449164 75.14351 82.59268 0.000912941 7.278 4.452 4.049 4.094 19.7 0.6328 -nan 0.2299 -nan -nan
7400 7.534332 75.06381 82.59815 0.000912941 7.278 4.45 4.048 4.096 19.7 0.6323 -nan 0.2308 -nan -nan
7500 7.693115 74.94262 82.63573 0.000912941 7.279 4.449 4.048 4.098 19.7 0.632 -nan 0.2323 -nan -nan
7600 7.864031 74.84894 82.71297 0.000912941 7.279 4.448 4.047 4.101 19.7 0.6317 -nan 0.2348 -nan -nan
7700 8.07009 74.87295 82.94303 0.000912941 7.28 4.447 4.047 4.103 19.7 0.6321 -nan 0.235 -nan -nan
7800 8.206015 74.91763 83.12365 0.000912941 7.28 4.446 4.047 4.106 19.7 0.632 -nan 0.2378 -nan -nan
7900 8.21176 75.05502 83.26678 0.000912941 7.281 4.445 4.047 4.109 19.71 0.6308 -nan 0.2381 -nan -nan
8000 8.204843 75.18082 83.38566 0.000887809 7.282 4.444 4.046 4.111 19.71 0.63 -nan 0.2415 -nan -nan
8100 8.214071 75.26778 83.48185 0.000887809 7.282 4.443 4.046 4.114 19.71 0.6301 -nan 0.2416 -nan -nan
8200 8.198826 75.3504 83.54923 0.000887809 7.283 4.441 4.046 4.117 19.71 0.6293 -nan 0.241 -nan -nan
8300 8.175885 75.39548 83.57137 0.000887809 7.284 4.441 4.046 4.119 19.72 0.6287 -nan 0.2393 -nan -nan
8400 8.180991 75.36821 83.54921 0.000887809 7.285 4.44 4.045 4.122 19.72 0.6285 -nan 0.2395 -nan -nan
8500 8.244956 75.40972 83.65467 0.000887809 7.286 4.439 4.045 4.125 19.72 0.6274 -nan 0.236 -nan -nan
8600 8.219251 75.5096 83.72885 0.000887809 7.286 4.438 4.044 4.127 19.73 0.6272 -nan 0.2356 -nan -nan
8700 8.219843 75.46461 83.68445 0.000887809 7.286 4.438 4.043 4.13 19.73 0.6269 -nan 0.2328 -nan -nan
8800 8.226919 75.43686 83.66378 0.000887809 7.287 4.437 4.042 4.132 19.73 0.6264 -nan 0.2329 -nan -nan
8900 8.237675 75.44662 83.68429 0.000887809 7.287 4.436 4.042 4.134 19.74 0.6268 -nan 0.2313 -nan -nan
9000 8.238207 75.41852 83.65673 0.000868616 7.288 4.435 4.041 4.137 19.74 0.6261 -nan 0.2315 -nan -nan
9100 8.243509 75.34841 83.59192 0.000868616 7.288 4.435 4.04 4.139 19.74 0.626 -nan 0.2311 -nan -nan
9200 8.250053 75.22342 83.47347 0.000868616 7.288 4.434 4.039 4.141 19.74 0.6264 -nan 0.2313 -nan -nan
9300 8.279457 75.09526 83.37472 0.000868616 7.289 4.433 4.038 4.143 19.75 0.6257 -nan 0.2304 -nan -nan
9400 8.275812 74.95184 83.22765 0.000868616 7.289 4.433 4.038 4.145 19.75 0.6255 -nan 0.2296 -nan -nan
9500 8.25742 74.82833 83.08575 0.000868616 7.289 4.432 4.037 4.146 19.75 0.6257 -nan 0.2303 -nan -nan
9600 8.254691 74.60335 82.85805 0.000868616 7.289 4.432 4.036 4.148 19.75 0.6257 -nan 0.2304 -nan -nan
9700 8.226818 74.48038 82.7072 0.000868616 7.29 4.431 4.035 4.15 19.76 0.6259 -nan 0.2294 -nan -nan
9800 8.186772 74.36681 82.55359 0.000868616 7.289 4.431 4.035 4.15 19.76 0.6267 -nan 0.2334 -nan -nan
9900 8.151058 74.29448 82.44554 0.000868616 7.289 4.43 4.034 4.151 19.76 0.6269 -nan 0.2335 -nan -nan
10000 8.140121 74.29248 82.4326 0.000879338 7.289 4.43 4.034 4.152 19.76 0.6268 -nan 0.2321 -nan -nan
