#Step <PairEne> <EwaldEne> <ExtPotEne> <TotalEnergy> NoOfMol <Density> <Pzz> <|Rg|> <|Rgx|> <|Rgy|> <|Rgz|> <ete> beadtrans comtrans pivot crankshaft reptate insert delete
100 -nan -nan -nan -nan 36 -nan 0 -nan -nan -nan -nan -nan 0.8395 -nan 1 -nan -nan -nan -nan
7400 6.638525e-17 1.450935 -2.231408 -0.7804735 36 0.0003763 9.65369e-05 0.4809 0.1887 0.4347 0.08197 1.005 0.7609 1 0.8889 -nan 1 0.01337 0.01285
7500 6.548816e-17 1.432411 -2.194671 -0.76226 36 0.0003763 9.65369e-05 0.4777 0.1874 0.4318 0.08142 0.9985 0.7616 1 0.8889 -nan 1 0.01316 0.01279
7600 6.461498e-17 1.437815 -2.189615 -0.7517994 36 0.0003763 9.65369e-05 0.4745 0.1861 0.4289 0.08087 0.9918 0.7617 1 0.8889 -nan 1 0.01305 0.01266
7700 6.376478e-17 1.442902 -2.190973 -0.7480711 36 0.0003762 9.65369e-05 0.4713 0.1849 0.426 0.08034 0.9853 0.7612 1 0.8889 -nan 1 0.01292 0.01244
7800 6.293667e-17 1.483115 -2.192297 -0.7091814 36 0.0003762 9.65369e-05 0.4683 0.1837 0.4233 0.07981 0.9789 0.7614 1 0.8889 -nan 1 0.01276 0.01235
7900 6.212979e-17 1.492554 -2.194168 -0.7016139 36 0.0003762 9.65369e-05 0.4653 0.1825 0.4205 0.0793 0.9726 0.7617 1 0.8889 -nan 1 0.01515 0.01463
8000 6.134334e-17 1.51455 -2.195992 -0.6814422 36 0.0003762 8.44697e-05 0.4623 0.1814 0.4179 0.0788 0.9664 0.7617 1 0.8 -nan 1 0.01733 0.01691
8100 6.057654e-17 1.549533 -2.197771 -0.648238 36 0.0003762 8.44697e-05 0.4594 0.1802 0.4153 0.0783 0.9603 0.7608 1 0.8 -nan 1 0.0172 0.01687
8200 5.982869e-17 1.601008 -2.199368 -0.5983601 36 0.0003762 8.44697e-05 0.4566 0.1791 0.4127 0.07782 0.9544 0.761 1 0.8 -nan 1 0.01711 0.01671
8300 7.846027e-17 1.618071 -2.226404 -0.6083337 45 0.0003773 8.44697e-05 0.6533 0.3719 0.5249 0.1142 1.639 0.7607 1 0.7273 -nan 1 0.02143 0.01882
8400 0.002744238 1.656703 -2.252794 -0.5933462 45 0.0003784 8.44697e-05 0.8058 0.5646 0.5327 0.2163 2.028 0.7608 1 0.6667 -nan 0.6667 0.02358 0.02074
8500 0.002711569 1.642985 -2.253811 -0.6081146 36 0.0003783 8.44697e-05 0.801 0.5613 0.5295 0.215 2.016 0.7599 1 0.6667 -nan 0.6667 0.0232 0.02283
8600 0.002679668 1.658051 -2.254805 -0.594074 36 0.0003783 8.44697e-05 0.7963 0.558 0.5264 0.2138 2.004 0.7601 1 0.6667 -nan 0.6667 0.02299 0.02242
8700 0.003528136 1.685425 -2.274384 -0.585431 45 0.0003794 8.44697e-05 0.8875 0.5902 0.5623 0.3509 2.166 0.7597 0.75 0.7143 -nan 0.8 0.02489 0.02212
8800 0.005373692 1.734929 -2.299009 -0.558706 45 0.0003804 8.44697e-05 0.9609 0.6233 0.5994 0.419 2.329 0.7604 0.8182 0.6875 -nan 0.6923 0.0245 0.02188
8900 0.005312627 1.801183 -2.323074 -0.5165777 45 0.0003814 8.44697e-05 1.027 0.6491 0.6029 0.5195 2.513 0.7618 0.6429 0.6316 -nan 0.5714 0.02428 0.02179
9000 0.005252935 1.820299 -2.323245 -0.497693 36 0.0003813 7.50842e-05 1.021 0.6455 0.5995 0.5166 2.499 0.7607 0.6429 0.6667 -nan 0.5714 0.02412 0.02361
9100 0.005194569 1.847056 -2.323224 -0.4709736 36 0.0003813 7.50842e-05 1.016 0.6419 0.5961 0.5137 2.485 0.7615 0.6429 0.6667 -nan 0.5714 0.02391 0.0235
9200 0.005137486 1.863797 -2.323345 -0.4544109 36 0.0003812 7.50842e-05 1.01 0.6384 0.5929 0.5109 2.471 0.7621 0.6429 0.6667 -nan 0.5714 0.02371 0.02311
9300 0.005081643 1.943264 -2.33759 -0.3892437 45 0.0003821 7.50842e-05 1.056 0.6551 0.6085 0.5628 2.551 0.7615 0.6 0.6538 -nan 0.5455 0.02553 0.02296
9400 0.005027002 1.954842 -2.337597 -0.3777279 36 0.0003821 7.50842e-05 1.051 0.6515 0.6052 0.5597 2.538 0.7621 0.6 0.6538 -nan 0.5455 0.02516 0.02474
9500 0.004973523 1.966751 -2.33464 -0.3629155 36 0.000382 7.50842e-05 1.045 0.6481 0.6019 0.5568 2.524 0.7632 0.6 0.6538 -nan 0.5455 0.02484 0.02439
9600 0.00492117 1.957427 -2.319599 -0.3572514 36 0.0003819 7.50842e-05 1.04 0.6446 0.5988 0.5538 2.511 0.7628 0.6 0.6538 -nan 0.5455 0.02444 0.02424
9700 0.004869908 1.905923 -2.319604 -0.4088109 36 0.0003818 7.50842e-05 1.034 0.6413 0.5956 0.5509 2.498 0.7627 0.6 0.6538 -nan 0.5455 0.0241 0.024
9800 0.004819703 1.883117 -2.319741 -0.4318047 36 0.0003818 7.50842e-05 1.029 0.638 0.5926 0.5481 2.485 0.7625 0.6 0.6538 -nan 0.5455 0.024 0.0239
9900 0.004770522 1.873073 -2.319534 -0.4416902 36 0.0003817 7.50842e-05 1.024 0.6347 0.5895 0.5453 2.472 0.7615 0.6 0.6538 -nan 0.5455 0.02376 0.02353
10000 0.004722335 1.838196 -2.319621 -0.476703 36 0.0003816 7.23237e-05 1.018 0.6315 0.5866 0.5425 2.459 0.7616 0.6 0.6538 -nan 0.5455 0.02544 0.02519
